id,q1_1,q1_2,q1_3,op,q2_1,q2_2,q2_3
368,5,2,4,-,2,7,4
369,8,2,4,-,2,7,4
370,7,1,3,-,4,5,3
371,8,1,3,-,2,5,3
372,6,3,5,-,3,9,5
373,8,3,5,-,4,9,5
374,6,2,4,-,3,7,4
375,6,1,3,-,3,5,3
376,6,1,5,-,3,8,5
377,7,1,5,-,3,8,5
378,9,2,4,-,2,7,4
379,9,1,3,-,3,5,3
380,5,3,5,-,2,9,5
381,6,1,4,-,3,7,4
382,9,3,5,-,4,9,5
383,9,1,4,-,4,6,4
384,8,1,5,-,4,8,5
385,9,2,5,-,2,8,5
386,9,3,5,-,4,9,5
387,6,1,3,-,3,5,3
388,7,1,5,-,2,9,5
389,5,1,3,-,2,5,3
390,7,1,5,-,4,7,5
391,8,3,5,-,2,9,5
392,7,1,4,-,3,7,4
393,8,1,4,-,4,6,4
394,7,1,5,-,3,9,5
395,8,1,4,-,2,6,4
396,5,3,5,-,2,9,5
397,7,1,3,-,2,5,3
398,8,3,5,-,2,9,5
399,5,3,5,-,2,9,5
400,5,1,5,-,2,9,5
401,5,2,5,-,2,8,5
402,8,1,4,-,3,6,4
403,7,1,5,-,3,7,5
404,6,1,3,-,3,5,3
405,7,2,4,-,2,7,4
406,6,1,3,-,2,5,3
407,9,3,5,-,2,9,5
408,6,2,5,-,2,9,5
409,9,3,5,-,6,9,5
410,7,2,5,-,2,9,5
411,9,3,5,-,2,9,5
412,9,1,4,-,6,7,4
413,9,1,3,-,2,5,3
414,6,1,3,-,2,5,3
415,8,1,3,-,4,5,3
416,6,3,5,-,3,9,5
417,9,1,4,-,3,7,4
418,7,2,4,-,3,7,4
419,8,1,3,-,2,5,3
420,7,1,5,-,3,7,5
421,6,3,5,-,3,9,5
422,8,2,5,-,3,8,5
423,6,1,3,-,2,5,3
424,5,1,3,-,2,5,3
425,9,2,5,-,5,9,5
426,8,1,3,-,2,5,3
427,9,2,4,-,4,7,4
428,9,1,5,-,5,7,5
429,9,1,3,-,2,5,3
430,6,1,5,-,2,7,5
431,9,1,3,-,2,5,3
432,5,1,4,-,2,6,4
433,5,1,4,-,2,6,4
434,9,1,3,-,6,5,3
435,8,1,4,-,4,6,4
436,7,1,4,-,3,7,4
437,8,2,4,-,3,7,4
438,7,3,5,-,3,9,5
439,7,2,5,-,2,8,5
440,9,1,3,-,2,5,3
441,8,1,4,-,2,7,4
442,6,2,5,-,3,9,5
443,6,3,5,-,3,9,5
444,5,1,3,-,2,5,3
445,6,2,4,-,2,7,4
446,5,2,4,-,2,7,4
447,5,1,4,-,2,7,4
448,7,1,4,-,4,6,4
449,5,2,5,-,2,9,5
450,9,1,4,-,6,6,4
451,7,1,3,-,2,5,3
452,9,2,4,-,6,7,4
453,8,1,3,-,3,5,3
454,9,1,4,-,3,7,4
455,8,2,4,-,2,7,4
456,7,2,4,-,4,7,4
457,7,1,4,-,3,6,4
458,7,1,4,-,4,7,4
459,8,3,5,-,4,9,5
460,9,2,4,-,6,7,4
461,9,1,3,-,5,5,3
462,7,2,4,-,4,7,4
463,5,1,3,-,2,5,3
464,7,2,5,-,4,9,5
465,8,1,3,-,5,5,3
466,7,1,4,-,4,7,4
467,9,1,4,-,4,6,4
468,8,2,4,-,3,7,4
469,8,2,4,-,5,7,4
470,6,2,5,-,3,9,5
471,8,3,5,-,5,9,5
472,7,2,5,-,4,9,5
473,7,1,4,-,4,7,4
474,9,3,5,-,2,9,5
475,6,1,3,-,2,5,3
476,6,2,5,-,2,9,5
477,9,2,5,-,4,9,5
478,6,1,4,-,3,7,4
479,9,1,3,-,4,5,3
480,8,2,4,-,4,7,4
481,6,1,3,-,3,5,3
482,9,1,3,-,6,5,3
483,5,1,4,-,2,7,4
484,5,1,3,-,2,5,3
485,9,3,5,-,2,9,5
486,6,2,5,-,2,8,5
487,6,1,4,-,2,7,4
488,7,1,5,-,2,8,5
489,5,3,5,-,2,9,5
490,5,1,5,-,2,7,5
491,9,3,5,-,4,9,5
492,7,1,3,-,4,5,3
493,8,1,5,-,4,9,5
494,8,1,3,-,3,5,3
495,8,1,3,-,3,5,3
496,7,3,5,-,2,9,5
497,9,2,5,-,2,8,5
498,6,3,5,-,3,9,5
499,7,1,4,-,4,6,4
500,7,1,3,-,4,5,3
501,6,1,5,-,2,7,5
502,9,2,4,-,5,7,4
503,7,2,4,-,2,7,4
504,6,2,4,-,2,7,4
505,7,1,3,-,2,5,3
506,7,1,3,-,3,5,3
507,8,2,4,-,5,7,4
508,8,1,3,-,5,5,3
509,6,1,3,-,3,5,3
510,7,1,3,-,3,5,3
511,8,3,5,-,3,9,5
512,8,3,5,-,5,9,5
513,8,2,4,-,3,7,4
514,8,3,5,-,2,9,5
515,8,1,3,-,4,5,3
516,8,1,3,-,2,5,3
517,6,2,5,-,2,8,5
518,5,1,3,-,2,5,3
519,5,2,4,-,2,7,4
520,6,1,5,-,2,8,5
521,7,1,3,-,2,5,3
522,6,3,5,-,2,9,5
523,6,1,4,-,3,6,4
524,7,2,5,-,2,8,5
525,9,1,3,-,2,5,3
526,8,1,4,-,2,6,4
527,6,2,5,-,3,8,5
528,8,1,4,-,3,7,4
529,6,1,3,-,3,5,3
530,9,2,4,-,5,7,4
531,9,1,4,-,2,6,4
532,7,1,5,-,4,7,5
533,9,2,4,-,5,7,4
534,6,1,3,-,3,5,3
535,6,1,4,-,3,7,4
536,8,1,4,-,2,7,4
537,9,1,5,-,2,7,5
538,7,2,5,-,2,8,5
539,7,1,3,-,4,5,3
540,8,1,4,-,5,6,4
541,7,3,5,-,3,9,5
542,6,3,5,-,2,9,5
543,9,1,3,-,2,5,3
544,5,1,3,-,2,5,3
545,8,1,3,-,3,5,3
546,9,1,4,-,4,7,4
547,9,3,5,-,3,9,5
548,6,1,3,-,2,5,3
549,9,1,4,-,5,7,4
550,9,2,4,-,2,7,4
551,6,1,4,-,3,7,4
552,9,1,5,-,4,9,5
553,6,3,5,-,3,9,5
554,7,2,4,-,2,7,4
555,7,1,3,-,4,5,3
556,9,2,4,-,6,7,4
557,9,3,5,-,6,9,5
558,6,2,4,-,2,7,4
559,9,1,3,-,6,5,3
560,5,1,4,-,2,6,4
561,9,3,5,-,5,9,5
562,7,1,4,-,3,6,4
563,5,1,5,-,2,7,5
564,6,2,4,-,2,7,4
565,7,1,5,-,3,9,5
566,6,3,5,-,3,9,5
567,8,1,5,-,4,9,5
568,5,1,3,-,2,5,3
569,9,1,3,-,4,5,3
570,9,1,3,-,2,5,3
571,8,3,5,-,5,9,5
572,7,1,3,-,3,5,3
573,7,3,5,-,2,9,5
574,6,2,4,-,2,7,4
575,5,3,5,-,2,9,5
576,6,1,3,-,2,5,3
577,7,1,3,-,2,5,3
578,8,2,4,-,4,7,4
579,6,3,5,-,2,9,5
580,9,3,5,-,4,9,5
581,6,1,3,-,3,5,3
582,6,2,4,-,2,7,4
583,9,2,4,-,4,7,4
584,9,1,3,-,2,5,3
585,8,1,5,-,5,8,5
586,6,2,5,-,3,8,5
587,9,1,3,-,4,5,3
588,6,3,5,-,3,9,5
589,9,3,5,-,4,9,5
590,7,3,5,-,3,9,5
591,8,1,4,-,5,7,4
592,6,2,4,-,3,7,4
593,5,1,5,-,2,7,5
594,6,2,4,-,2,7,4
595,6,1,3,-,3,5,3
596,9,3,5,-,3,9,5
597,7,3,5,-,3,9,5
598,6,1,5,-,2,8,5
599,9,1,3,-,6,5,3
600,5,3,5,-,2,9,5
601,8,1,5,-,2,8,5
602,8,2,4,-,5,7,4
603,6,2,4,-,3,7,4
604,5,2,5,-,2,8,5
605,7,1,3,-,3,5,3
606,8,3,5,-,2,9,5
607,6,2,5,-,3,9,5
608,9,1,3,-,4,5,3
609,9,1,4,-,6,7,4
610,9,3,5,-,2,9,5
611,8,1,3,-,3,5,3
612,7,1,5,-,2,7,5
613,9,1,5,-,2,7,5
614,5,2,4,-,2,7,4
615,6,3,5,-,2,9,5
616,9,1,3,-,5,5,3
617,7,1,3,-,3,5,3
618,7,1,3,-,4,5,3
619,6,2,5,-,2,9,5
620,7,2,5,-,4,8,5
621,5,1,3,-,2,5,3
622,7,2,5,-,2,9,5
623,6,1,5,-,2,7,5
624,8,2,5,-,3,8,5
625,6,1,3,-,2,5,3
626,6,1,3,-,2,5,3
627,8,1,3,-,5,5,3
628,9,1,3,-,4,5,3
629,9,2,4,-,3,7,4
630,6,1,5,-,3,8,5
631,8,1,4,-,3,7,4
632,7,1,3,-,4,5,3
633,8,1,3,-,2,5,3
634,9,1,4,-,2,6,4
635,8,1,5,-,4,9,5
636,5,2,4,-,2,7,4
637,5,1,5,-,2,9,5
638,5,1,4,-,2,6,4
639,5,1,3,-,2,5,3
640,5,1,4,-,2,7,4
641,8,3,5,-,3,9,5
642,6,2,4,-,2,7,4
643,5,1,3,-,2,5,3
644,9,2,5,-,6,9,5
645,9,1,3,-,4,5,3
646,9,1,4,-,2,7,4
647,8,1,3,-,3,5,3
648,5,1,4,-,2,7,4
649,8,3,5,-,5,9,5
650,9,1,3,-,3,5,3
651,9,1,3,-,6,5,3
652,6,1,5,-,2,8,5
653,5,1,3,-,2,5,3
654,9,1,4,-,2,6,4
655,7,3,5,-,2,9,5
656,7,1,3,-,3,5,3
657,6,1,5,-,2,9,5
658,7,1,3,-,2,5,3
659,5,3,5,-,2,9,5
660,6,1,3,-,3,5,3
661,9,1,3,-,6,5,3
662,5,2,4,-,2,7,4
663,7,3,5,-,3,9,5
664,7,1,3,-,2,5,3
665,7,2,4,-,3,7,4
666,8,1,4,-,2,7,4
667,8,1,3,-,5,5,3
668,7,1,3,-,2,5,3
669,9,1,5,-,6,8,5
670,5,1,3,-,2,5,3
671,9,1,4,-,2,6,4
672,6,2,4,-,3,7,4
673,8,3,5,-,4,9,5
674,6,1,4,-,3,6,4
675,7,1,4,-,3,7,4
676,6,2,5,-,2,9,5
677,9,1,4,-,5,6,4
678,7,1,4,-,2,7,4
679,6,1,4,-,2,7,4
680,5,1,3,-,2,5,3
681,7,1,4,-,3,6,4
682,9,2,5,-,5,8,5
683,6,1,3,-,2,5,3
684,7,1,3,-,3,5,3
685,6,1,4,-,2,7,4
686,5,2,5,-,2,8,5
687,6,3,5,-,3,9,5
688,7,2,5,-,4,8,5
689,9,1,5,-,2,7,5
690,7,2,5,-,2,9,5
691,8,3,5,-,3,9,5
692,7,1,3,-,2,5,3
693,6,1,5,-,2,8,5
694,5,1,3,-,2,5,3
695,7,1,4,-,3,6,4
696,9,2,4,-,2,7,4
697,6,2,4,-,2,7,4
698,7,2,4,-,3,7,4
699,7,3,5,-,3,9,5
700,8,2,4,-,2,7,4
701,6,3,5,-,2,9,5
702,7,1,5,-,2,8,5
703,9,2,4,-,3,7,4
704,6,1,4,-,2,6,4
705,5,1,5,-,2,9,5
706,9,1,4,-,3,7,4
707,5,1,5,-,2,8,5
708,8,2,5,-,2,9,5
709,9,1,3,-,2,5,3
710,6,2,5,-,3,9,5
711,9,2,4,-,2,7,4
712,5,1,4,-,2,6,4
713,7,1,5,-,2,8,5
714,5,3,5,-,2,9,5
715,8,1,3,-,2,5,3
716,9,2,4,-,5,7,4
717,6,1,5,-,3,7,5
718,8,1,5,-,4,9,5
719,6,1,3,-,3,5,3
720,9,2,4,-,2,7,4
721,7,1,3,-,4,5,3
722,5,1,3,-,2,5,3
723,8,2,5,-,3,9,5
724,5,1,4,-,2,7,4
725,5,2,4,-,2,7,4
726,9,2,4,-,3,7,4
727,6,1,3,-,2,5,3
728,6,1,4,-,2,7,4
729,6,1,3,-,2,5,3
730,8,1,5,-,4,8,5
731,5,2,4,-,2,7,4
732,6,2,5,-,2,9,5
733,8,1,5,-,3,8,5
734,7,1,4,-,3,6,4
735,7,1,3,-,3,5,3
736,9,1,3,-,5,5,3
737,8,1,5,-,5,7,5
738,8,1,4,-,4,6,4
739,7,1,5,-,4,8,5
740,7,1,3,-,2,5,3
741,5,3,5,-,2,9,5
742,8,1,4,-,4,6,4
743,8,1,4,-,2,7,4
744,7,2,4,-,2,7,4
745,6,1,4,-,3,6,4
746,9,1,4,-,4,7,4
747,6,1,4,-,3,7,4
748,5,1,4,-,2,7,4
749,7,3,5,-,2,9,5
750,5,2,5,-,2,8,5
751,6,1,3,-,3,5,3
752,7,1,3,-,2,5,3
753,9,1,4,-,2,7,4
754,9,2,4,-,4,7,4
755,6,3,5,-,2,9,5
756,7,3,5,-,3,9,5
757,5,2,4,-,2,7,4
758,8,1,5,-,2,9,5
759,5,1,5,-,2,8,5
760,9,1,5,-,3,9,5
761,5,1,3,-,2,5,3
762,9,1,5,-,5,9,5
763,5,3,5,-,2,9,5
764,5,1,3,-,2,5,3
765,9,2,5,-,5,9,5
766,9,1,3,-,6,5,3
767,7,2,4,-,4,7,4
768,8,1,4,-,4,6,4
769,8,1,3,-,4,5,3
770,8,1,3,-,3,5,3
771,5,1,3,-,2,5,3
772,5,1,3,-,2,5,3
773,9,1,4,-,4,6,4
774,9,2,4,-,5,7,4
775,5,1,5,-,2,9,5
776,9,2,4,-,3,7,4
777,9,1,3,-,2,5,3
778,9,1,4,-,4,7,4
779,9,2,4,-,2,7,4
780,9,1,5,-,4,9,5
781,9,1,5,-,4,8,5
782,6,2,5,-,2,8,5
783,8,1,3,-,2,5,3
784,5,3,5,-,2,9,5
785,9,1,4,-,3,7,4
786,8,1,3,-,4,5,3
787,7,3,5,-,4,9,5
788,7,1,5,-,4,8,5
789,6,3,5,-,3,9,5
790,9,1,3,-,5,5,3
791,8,2,4,-,4,7,4
792,7,1,4,-,3,6,4
793,8,1,4,-,4,7,4
794,8,1,3,-,5,5,3
795,5,1,5,-,2,8,5
796,5,1,4,-,2,7,4
797,9,2,5,-,2,8,5
798,7,2,5,-,3,9,5
799,9,1,3,-,2,5,3
800,5,2,5,-,2,8,5
801,7,1,3,-,2,5,3
802,8,2,4,-,4,7,4
803,6,1,3,-,3,5,3
804,5,1,5,-,2,8,5
805,8,1,5,-,3,7,5
806,5,1,3,-,2,5,3
807,5,3,5,-,2,9,5
808,5,2,5,-,2,9,5
809,8,1,3,-,2,5,3
810,6,2,4,-,3,7,4
811,9,3,5,-,6,9,5
812,5,1,4,-,2,7,4
813,6,2,5,-,2,8,5
814,6,2,4,-,3,7,4
815,8,2,5,-,2,8,5
816,5,2,5,-,2,9,5
817,8,1,3,-,2,5,3
818,5,2,4,-,2,7,4
819,6,2,4,-,2,7,4
820,7,2,5,-,3,8,5
821,7,1,4,-,3,6,4
822,5,1,3,-,2,5,3
823,7,3,5,-,2,9,5
824,7,1,4,-,3,6,4
825,6,1,5,-,2,7,5
826,5,1,3,-,2,5,3
827,7,1,4,-,3,6,4
828,7,1,3,-,2,5,3
829,5,1,4,-,2,6,4
830,5,1,5,-,2,9,5
831,8,1,4,-,2,6,4
832,9,1,5,-,5,7,5
833,7,1,5,-,3,8,5
834,6,3,5,-,2,9,5
835,8,3,5,-,5,9,5
836,5,1,4,-,2,7,4
837,7,1,5,-,3,8,5
838,7,1,4,-,3,7,4
839,8,1,3,-,5,5,3
840,8,2,5,-,3,8,5
841,5,2,4,-,2,7,4
842,6,2,5,-,2,9,5
843,8,1,5,-,3,8,5
844,7,1,3,-,2,5,3
845,7,1,4,-,4,6,4
846,9,1,5,-,2,9,5
847,7,2,5,-,4,9,5
848,5,1,5,-,2,7,5
849,5,2,4,-,2,7,4
850,6,1,4,-,2,7,4
851,7,1,4,-,2,6,4
852,6,3,5,-,3,9,5
853,9,2,5,-,4,9,5
854,8,1,3,-,5,5,3
855,7,2,4,-,4,7,4
856,6,2,4,-,2,7,4
857,8,2,5,-,4,9,5
858,5,1,5,-,2,7,5
859,6,2,5,-,2,9,5
860,9,2,5,-,4,8,5
861,7,2,5,-,4,9,5
862,7,2,4,-,4,7,4
863,6,1,3,-,3,5,3
864,9,2,4,-,3,7,4
865,6,2,5,-,2,8,5
866,8,1,3,-,2,5,3
867,7,1,3,-,4,5,3
868,7,1,3,-,2,5,3
869,7,2,5,-,2,8,5
